hub_name,hub_x,hub_y
hub_1,38.394308199681,-96.808358277876
hub_2,46.395308561172,-122.835564127969
hub_3,49.394308454922,-76.488259289560
hub_4,39.384328027203,-84.734773578631
hub_5,47.396348667365,-89.594367542376
hub_6,30.394318871034,-105.728864610868
hub_7,34.396318620393,-85.466064776340
hub_8,46.385338654955,-97.676069860605
hub_9,38.396338446054,-70.6784583452240
hub_10,33.386338423039,-89.495464908957
hub_11,25.384328255192,-103.468966823389
hub_12,41.384318179528,-116.465863565408
hub_13,36.394358572286,-83.505069299737
hub_14,26.386308436202,-96.754968441249
hub_15,30.396348179368,-110.528366802209
